"author","birth","death","wikipageid","books","bio"
"George MacDonald",1824-12-10,1905-09-18,146769,"Mary Marston|The Lost Princess|The Princess and the Goblin|David Elginbrod|Evenor (collection)|Ranald Bannerman's Boyhood|Lilith (novel)|The Light Princess|Phantastes|At the Back of the North Wind","George MacDonald (10 December 1824 – 18 September 1905) was a Scottish author, poet, and Christian minister. He was a pioneering figure in the field of fantasy literature and the mentor of fellow writer Lewis Carroll. His writings have been cited as a major literary influence by many notable authors including W. H. Auden, C. S. Lewis, J. R. R. Tolkien, Walter de la Mare, E. Nesbit and Madeleine L'Engle. C. S. Lewis wrote that he regarded MacDonald as his ""master"": ""Picking up a copy of Phantastes one day at a train-station bookstall, I began to read. A few hours later,"" said Lewis, ""I knew that I had crossed a great frontier."" G. K. Chesterton cited The Princess and the Goblin as a book that had ""made a difference to my whole existence"". Elizabeth Yates wrote of Sir Gibbie, ""It moved me the way books did when, as a child, the great gates of literature began to open and first encounters with noble thoughts and utterances were unspeakably thrilling."" Even Mark Twain, who initially disliked MacDonald, became friends with him, and there is some evidence that Twain was influenced by MacDonald. Christian author Oswald Chambers (1874–1917) wrote in Christian Disciplines, vol. 1, (pub. 1934) that ""it is a striking indication of the trend and shallowness of the modern reading public that George MacDonald's books have been so neglected"". In addition to his fairy tales, MacDonald wrote several works on Christian apologetics including several that defended his view of Christian Universalism."
"Javier Marías",1951-09-20,,1853975,"Dark Back of Time|Your Face Tomorrow Volume 2: Dance and Dream|Tomorrow in the Battle Think on Me|When I Was Mortal|Written Lives|Your Face Tomorrow Volume 1: Fever and Spear|A Heart So White","Javier Marías (born 20 September 1951) is a Spanish novelist, translator, and columnist. He is one of Spain's most celebrated novelists, and his work has been translated into 42 languages."
"Vera Chapman","1898",1996-05-14,9433688,"The King's Damosel","Vera Chapman (May 8, 1898 – May 14, 1996), also known as Vera Ivy May Fogerty, and within the Tolkien Society as Belladonna Took, was an author and founder of the Tolkien Society in the UK, and also wrote a number of pseudo-historical and Arthurian books. She held the title of Pendragon of The Order of Bards, Ovates and Druids from 1964 - 1991."
"Ernesto Laclau",1935-10-06,2014-04-13,622304,"Contingency, Hegemony, Universality|Hegemony and Socialist Strategy","Ernesto Laclau ([laˈklau]; 6 October 1935 – 13 April 2014) was an Argentine political theorist. He is often described as post-Marxist. He is well-known for his collaborations with his long-term partner, Chantal Mouffe. He studied History in Buenos Aires, graduating from the Universidad Nacional de Buenos Aires in 1964, and received a PhD from the University of Essex in 1977. Since 1986 he served as Professor of Political Theory at the University of Essex, where he founded and directed for many years the graduate programme in Ideology and Discourse Analysis, as well as the Centre for Theoretical Studies in the Humanities and the Social Sciences. Under his directorship, the Ideology and Discourse Analysis programme has provided a research framework for the development of a distinct type of discourse analysis that draws on post-structuralist theory (especially the work of Saussure, Derrida, and Wittgenstein) and psychoanalysis (primarily the work of Lacan) to provide innovative analysis of concrete political phenomena, such as identities, discourses and hegemonies. This theoretical and analytical orientation is known today as the 'Essex School of discourse analysis'. Over his career Laclau lectured extensively in many universities in North America, South America, Western Europe, Australia, and South Africa. Most recently he has held positions at SUNY Buffalo and Northwestern University, both in the US. Laclau died of a heart attack in Seville in 2014."
"Shan Sa",1972-10-26,,2029147,"Empress (novel)","Shan Sa is the pseudonym of Yan Ni (born October 26, 1972 in Beijing, China), a French author and painter. The Girl Who Played Go was the first of her novels to be published outside France, and won the Prix Goncourt des Lycéens (a prize voted by secondary school students). Her second novel to appear in English translation was Empress (2006). She was awarded chevalier of the Ordre des Arts et des Lettres in July 2009 and chevalier of the Ordre national du Mérite in May 2011. Shan Sa is also a painter with exhibitions in Paris, New York, and Shanghai."
"Joel Rosenberg (science fiction author)",1954-05-01,2011-06-02,22268127,"Murder in LaMut","Joel Rosenberg (May 1, 1954 – June 2, 2011) was a Canadian American science fiction and fantasy author best known for his long-running ""Guardians of the Flame"" series. Rosenberg was also a gun rights activist. He is the oldest brother of Miami Herald reporter Carol Rosenberg."
"Elinor Glyn",1864-10-17,1943-09-23,594907,"Beyond the Rocks|Three Weeks (book)","Elinor Glyn, née Sutherland (17 October 1864 – 23 September 1943), was a British novelist and scriptwriter who specialised in romantic fiction which was considered scandalous for its time. She popularized the concept of It. Although her works are relatively tame by modern standards, she had tremendous influence on early 20th-century popular culture and perhaps on the careers of notable Hollywood stars such as Rudolph Valentino, Gloria Swanson and Clara Bow in particular."
"Lisa Unger",1970-04-26,,7182942,"Smoke (Miscione novel)|Sliver of Truth|The Darkness Gathers (Miscione novel)|Black Out (novel)|Darkness, My Old Friend|In the Blood (Unger novel)|Twice (novel)|Die for You (novel)|Heartbroken (novel)|Fragile (novel)|Beautiful Lies (novel)|Crazy Love You (novel)|Ink and Bone|Angel Fire (Miscione novel)","Lisa Unger (born April 26, 1970) is an American author of contemporary fiction. Her novels have appeared on The New York Times Best Seller list, have sold millions of copies and have been translated into twenty-six languages."
"Nathaniel Benchley",1915-11-13,1981-12-14,1714009,"Sweet Hostage","Nathaniel Goddard Benchley (November 13, 1915 – December 14, 1981) was an American author."
"Kir Bulychev",1934-10-18,2003-09-05,484594,"Half a Life (Bulychov book)|Guest from the Future","Kir Bulychov or Bulychev (Russian: Кир Булычёв) (18 October 1934 – 5 September 2003) was a pen name of Igor Vsevolodovich Mozheiko (И́горь Все́володович Може́йко), a Soviet Russian science fiction writer and historian. His magnum opus is a children's science fiction series Alisa Selezneva, although most of his books are adult-oriented."
"Paul Scott (novelist)",1920-03-25,1978-03-01,1105739,"Staying On|A Division of the Spoils|The Day of the Scorpion|The Jewel in the Crown (novel)|The Towers of Silence","Paul Mark Scott (25 March 1920 in Southgate, then in Middlesex – 1 March 1978 in London) was an English novelist, playwright, and poet, best known for his monumental tetralogy the Raj Quartet. His novel Staying On won the Booker Prize for 1977."
"Stanisław Lem",1921-09-12,2006-03-27,26790,"The Astronauts|Return from the Stars|Hospital of the Transfiguration|The Futurological Congress|The Star Diaries|The Invincible|Solaris (novel)|The Magellanic Cloud|Fiasco (novel)|His Master's Voice (novel)|Memoirs Found in a Bathtub|The Cyberiad|Summa Technologiae|Eden (Lem novel)","Stanisław Lem ([staˈɲiswaf ˈlɛm]; 12 September 1921 – 27 March 2006) was a Polish writer of science fiction, philosophy, and satire, and a trained physician. Lem's books have been translated into forty-one languages and have sold over forty-five million copies. From the 1950s to 2000s, he published many books, both science fiction and philosophical/futurological. He is best known as the author of the 1961 novel Solaris, which has been made into a feature film three times. In 1976, Theodore Sturgeon wrote that Lem was the most widely read science-fiction writer in the world. Lem's works explore philosophical themes through speculation on technology, the nature of intelligence, the impossibility of mutual communication and understanding, despair about human limitations, and humanity's place in the universe. They are sometimes presented as fiction, but others are in the form of essays or philosophical books. Translations of his works are difficult due to passages with elaborate word formation, alien or robotic poetry, and puns."
"Manuel Inácio da Silva Alvarenga","1749","1814",7969396,"O Desertor das Letras","Manuel Inácio da Silva Alvarenga (1749–1814) was a Brazilian poet. He had a life-long commitment to life-long learning and promoting civic values and educational reforms. Silva Alvarenga edited one of the first newspapers in Brazil, O Patriota."
"Bruce Chatwin",1940-05-13,1989-01-18,449749,"What Am I Doing Here (book)|Utz (novel)|The Songlines|The Viceroy of Ouidah|Anatomy of Restlessness|In Patagonia|On the Black Hill|Winding Paths|Photographs and Notebooks","Charles Bruce Chatwin (13 May 1940 – 18 January 1989) was an English travel writer, novelist, and journalist. His first book, In Patagonia (1977), established Chatwin as a travel writer, although he considered himself instead a storyteller, interested in bringing to light unusual tales. He won the James Tait Black Memorial Prize for his novel On the Black Hill (1982) and his novel Utz (1988) was shortlisted for the Man Booker Prize. In 2008 The Times named Chatwin #46 on their list of ""50 Greatest British Writers Since 1945."" Chatwin was born near Sheffield, England. At 18 he went to work at Sotheby’s in London, where he gained an extensive knowledge of art and eventually ran the auction house’s Antiquities and Impressionist Art departments. In 1966 he left Sotheby’s to read archaeology at the University of Edinburgh, but he abandoned his studies after two years to pursue a career as a writer. The Sunday Times Magazine hired Chatwin in 1972. He travelled the world for work and interviewed figures such as the politicians Indira Gandhi and André Malraux. He left the magazine in 1974 to visit Patagonia, which resulted in his first book. He produced five other books, including The Songlines (1987), which was a bestseller. His work is credited with reviving the genre of travel writing, and his works influenced other writers such as William Dalrymple, Claudio Magris, Philip Marsden, Luis Sepúlveda, and Rory Stewart. Married and bisexual, Chatwin was one of the first prominent men in Great Britain known to have contracted HIV and to have died of an AIDS-related illness, although he hid the details. Following his death, the gay community criticised Chatwin for keeping his diagnosis secret."
